date,time,sensor,message
2008-04-08,13:43:22.604608,M13,ON
2008-04-08,13:43:24.649274,M13,OFF
2008-04-08,13:43:26.453077,M15,ON
2008-04-08,13:43:26.954025,M16,ON
2008-04-08,13:43:28.459695,M17,ON
2008-04-08,13:43:29.787351,M14,OFF
2008-04-08,13:43:30.473186,M15,OFF
2008-04-08,13:43:30.943035,M16,OFF
2008-04-08,13:43:33.461414,M18,ON
2008-04-08,13:43:37.350727,M17,OFF
2008-04-08,13:43:41.200683,M17,ON
2008-04-08,13:43:45.965461,M18,OFF
2008-04-08,13:43:55.253813,M17,OFF
2008-04-08,13:44:11.857558,M17,ON
2008-04-08,13:44:13.64224,M18,ON
2008-04-08,13:44:14.567788,M18,OFF
2008-04-08,13:44:15.15708,M17,OFF
2008-04-08,13:44:17.160203,M18,ON
2008-04-08,13:44:20.840166,M17,ON
2008-04-08,13:44:23.573473,M18,OFF
2008-04-08,13:44:26.730248,M17,OFF
2008-04-08,13:44:29.361528,M17,ON
2008-04-08,13:44:31.150053,M17,OFF
2008-04-08,13:44:36.524341,M18,ON
2008-04-08,13:44:36.524341,M17,ON
