date,time,sensor,message
2008-04-11,11:15:50.995448,M17,ON
2008-04-11,11:15:52.508133,D01,OPEN
2008-04-11,11:15:54.547551,I02,ABSENT
2008-04-11,11:15:54.860473,I01,ABSENT
2008-04-11,11:15:56.475002,M17,OFF
2008-04-11,11:15:56.754926,I03,ABSENT
2008-04-11,11:15:58.498467,I03,PRESENT
2008-04-11,11:15:59.890029,I05,ABSENT
2008-04-11,11:16:00.976729,I04,ABSENT
2008-04-11,11:16:03.888897,D01,CLOSE
2008-04-11,11:16:04.541762,M17,ON
2008-04-11,11:16:05.273496,I07,ABSENT
2008-04-11,11:16:06.389184,M17,OFF
2008-04-11,11:16:09.950191,M17,ON
2008-04-11,11:16:10.83194,AD1-A,2.81161
2008-04-11,11:16:13.25316,AD1-A,2.88809
2008-04-11,11:16:13.25316,AD1-B,0.0329302
2008-04-11,11:16:13.571185,M17,OFF
2008-04-11,11:16:16.24624,AD1-A,2.99286
2008-04-11,11:16:16.24624,AD1-B,0.287973
2008-04-11,11:16:17.957181,M17,ON
2008-04-11,11:16:19.4907,AD1-A,3.07638
2008-04-11,11:16:19.4907,AD1-B,0.223871
2008-04-11,11:16:21.325271,M17,OFF
2008-04-11,11:16:22.3065,AD1-A,3.14841
2008-04-11,11:16:22.620912,M17,ON
2008-04-11,11:16:25.19197,AD1-A,3.17966
2008-04-11,11:16:25.582112,M17,OFF
2008-04-11,11:16:25.582112,M10,ON
2008-04-11,11:16:26.689818,M10,OFF
2008-04-11,11:16:27.969588,M17,ON
2008-04-11,11:16:28.107624,AD1-A,3.22255
2008-04-11,11:16:30.233688,M17,OFF
2008-04-11,11:16:34.2801,AD1-A,3.25833
2008-04-11,11:16:37.25593,AD1-A,3.28005
2008-04-11,11:16:49.2002,AD1-A,3.30107
2008-04-11,11:16:53.67568,M17,ON
2008-04-11,11:16:56.334827,M17,OFF
2008-04-11,11:16:57.294901,M17,ON
2008-04-11,11:17:01.461211,M17,OFF
2008-04-11,11:17:04.62128,M17,ON
2008-04-11,11:17:07.533454,M17,OFF
2008-04-11,11:17:10.727541,M17,ON
2008-04-11,11:17:13.897623,M17,OFF
2008-04-11,11:17:38.606075,M17,ON
2008-04-11,11:17:40.552223,M17,OFF
2008-04-11,11:17:55.22801,AD1-A,3.32544
2008-04-11,11:17:58.794,AD1-A,3.21567
2008-04-11,11:18:01.3766,AD1-A,3.11138
2008-04-11,11:18:04.4011,AD1-A,3.03442
2008-04-11,11:18:06.80074,M17,ON
2008-04-11,11:18:07.24968,AD1-A,2.97567
2008-04-11,11:18:09.83931,M17,OFF
2008-04-11,11:18:10.23244,AD1-A,2.93333
2008-04-11,11:18:13.24387,AD1-A,2.91036
2008-04-11,11:18:19.8687,AD1-A,2.94364
2008-04-11,11:18:25.707778,M17,ON
2008-04-11,11:18:27.940125,M17,OFF
2008-04-11,11:18:37.1803,AD1-A,2.96989
2008-04-11,11:18:40.31937,AD1-A,3.02903
2008-04-11,11:18:43.31209,AD1-A,2.98215
2008-04-11,11:18:52.30303,AD1-A,3.01911
2008-04-11,11:18:58.1819,AD1-A,2.99817
2008-04-11,11:19:01.2543,AD1-A,3.03091
2008-04-11,11:19:10.6084,AD1-A,3.00419
2008-04-11,11:19:13.11317,AD1-A,3.03364
2008-04-11,11:19:19.5147,AD1-A,2.99434
2008-04-11,11:19:25.3459,AD1-A,3.03505
2008-04-11,11:19:28.22615,AD1-A,2.98723
2008-04-11,11:19:31.30751,AD1-A,3.00981
2008-04-11,11:19:34.20891,AD1-A,3.04536
2008-04-11,11:19:46.11867,AD1-A,3.01575
2008-04-11,11:19:49.2014,AD1-A,2.98684
2008-04-11,11:19:52.1405,AD1-A,3.01637
2008-04-11,11:19:55.28584,AD1-A,3.04005
2008-04-11,11:19:58.8841,AD1-A,2.99973
2008-04-11,11:20:04.1596,AD1-A,3.02255
2008-04-11,11:20:07.7156,AD1-A,2.98794
2008-04-11,11:20:10.22692,AD1-A,3.00809
2008-04-11,11:20:13.29889,AD1-A,3.03294
2008-04-11,11:20:19.6655,AD1-A,3.00192
2008-04-11,11:20:22.2769,AD1-A,3.03051
2008-04-11,11:20:34.26688,AD1-A,3.00708
2008-04-11,11:20:37.22846,AD1-A,2.98231
