date,time,sensor,message
2008-04-15,13:32:11.93464,M13,ON
2008-04-15,13:32:14.736544,M14,ON
2008-04-15,13:32:15.701304,M15,ON
2008-04-15,13:32:16.645064,M16,ON
2008-04-15,13:32:17.343831,M17,ON
2008-04-15,13:32:17.823706,M13,OFF
2008-04-15,13:32:18.225603,M14,OFF
2008-04-15,13:32:18.799448,M16,OFF
2008-04-15,13:32:19.28352,AD1-B,0.0483992
2008-04-15,13:32:19.628263,M15,OFF
2008-04-15,13:32:20.735018,M17,OFF
2008-04-15,13:32:22.139,AD1-B,0.221644
2008-04-15,13:32:25.13464,AD1-B,0.475671
2008-04-15,13:32:34.852519,M17,ON
2008-04-15,13:32:43.6242,AD1-B,0.504148
2008-04-15,13:32:43.6242,M17,OFF
2008-04-15,13:32:44.6595,M17,ON
2008-04-15,13:32:46.10387,AD1-B,0.469851
