date,time,sensor,message
2008-04-15,16:09:40.611776,M17,ON
2008-04-15,16:09:40.803701,D01,OPEN
2008-04-15,16:09:42.59885,I03,ABSENT
2008-04-15,16:09:45.311716,M17,OFF
2008-04-15,16:09:46.630337,I02,ABSENT
2008-04-15,16:09:48.494794,I01,ABSENT
2008-04-15,16:09:49.891339,I04,ABSENT
2008-04-15,16:09:52.464034,I05,ABSENT
2008-04-15,16:09:54.342754,M17,ON
2008-04-15,16:09:55.958369,D01,CLOSE
2008-04-15,16:10:01.3093,AD1-B,0.0441804
2008-04-15,16:10:01.3093,AD1-C,0.03836
2008-04-15,16:10:04.21287,AD1-C,0.151799
2008-04-15,16:10:04.21287,AD1-B,0.0800012
2008-04-15,16:10:04.21287,M17,OFF
2008-04-15,16:10:07.17375,AD1-C,0.113986
2008-04-15,16:10:07.17375,AD1-B,0.0485164
2008-04-15,16:10:10.10865,AD1-C,0.329614
2008-04-15,16:10:10.10865,AD1-B,0.112931
2008-04-15,16:10:12.677085,M17,ON
2008-04-15,16:10:13.28958,AD1-C,0.169456
2008-04-15,16:10:17.180723,I07,ABSENT
2008-04-15,16:10:22.3254,AD1-A,2.81207
2008-04-15,16:10:24.530551,M17,OFF
2008-04-15,16:10:24.864419,M17,ON
2008-04-15,16:10:25.25366,AD1-A,2.83223
2008-04-15,16:10:27.155738,M17,OFF
2008-04-15,16:10:28.21488,AD1-A,2.95848
2008-04-15,16:10:30.484893,M17,ON
2008-04-15,16:10:31.22662,AD1-A,3.05278
2008-04-15,16:10:32.759244,M17,OFF
2008-04-15,16:10:34.22928,AD1-A,3.12247
2008-04-15,16:10:34.555818,M17,ON
2008-04-15,16:10:37.23118,AD1-A,3.16958
2008-04-15,16:10:37.566015,M17,OFF
2008-04-15,16:10:37.918861,M17,ON
2008-04-15,16:10:40.29196,AD1-A,3.21583
2008-04-15,16:10:43.19342,AD1-A,3.24302
2008-04-15,16:10:44.690968,M17,OFF
2008-04-15,16:10:46.554912,M17,ON
2008-04-15,16:10:48.716044,M17,OFF
2008-04-15,16:10:52.13249,AD1-A,3.20005
2008-04-15,16:10:55.34469,AD1-A,3.12817
2008-04-15,16:10:58.9601,AD1-A,3.10536
2008-04-15,16:11:01.1823,AD1-A,3.15325
2008-04-15,16:11:05.131279,M17,ON
2008-04-15,16:11:08.143359,M17,OFF
2008-04-15,16:11:13.26618,AD1-A,3.07184
2008-04-15,16:11:16.60349,M17,ON
2008-04-15,16:11:16.7565,AD1-A,3.02872
2008-04-15,16:11:19.14852,AD1-A,3.08153
2008-04-15,16:11:25.29055,AD1-A,3.02872
2008-04-15,16:11:26.371674,M18,ON
2008-04-15,16:11:28.947925,M18,OFF
2008-04-15,16:11:30.860341,M17,OFF
2008-04-15,16:11:31.22269,AD1-A,3.04903
2008-04-15,16:11:33.186645,M17,ON
2008-04-15,16:11:34.10387,AD1-A,3.00153
2008-04-15,16:11:37.1502,AD1-A,3.02176
2008-04-15,16:11:39.984798,M17,OFF
2008-04-15,16:11:40.120784,AD1-A,3.04794
2008-04-15,16:11:41.59489,M17,ON
2008-04-15,16:11:50.684772,M17,OFF
2008-04-15,16:11:51.581555,M17,ON
2008-04-15,16:11:52.4451,AD1-A,3.02114
2008-04-15,16:11:53.81219,M17,OFF
2008-04-15,16:11:54.772253,M17,ON
2008-04-15,16:11:55.13255,AD1-A,2.99841
2008-04-15,16:12:01.527375,M17,OFF
2008-04-15,16:12:02.250131,M17,ON
2008-04-15,16:12:04.33581,AD1-A,3.02426
2008-04-15,16:12:07.471833,M17,OFF
2008-04-15,16:12:10.23511,AD1-A,2.99903
2008-04-15,16:12:13.16711,AD1-A,3.02926
2008-04-15,16:12:19.5905,AD1-A,2.98919
2008-04-15,16:12:22.24109,AD1-A,3.03051
2008-04-15,16:12:31.17981,AD1-A,2.99622
2008-04-15,16:12:34.7069,AD1-A,3.0327
2008-04-15,16:12:40.5359,AD1-A,2.99137
2008-04-15,16:12:46.14572,AD1-A,3.02755
2008-04-15,16:12:52.17115,AD1-A,2.99278
2008-04-15,16:12:55.23203,AD1-A,3.0313
2008-04-15,16:12:57.126601,M17,ON
2008-04-15,16:12:59.22087,M17,OFF
2008-04-15,16:13:04.53784,M17,ON
2008-04-15,16:13:04.9749,AD1-A,3.00841
2008-04-15,16:13:06.194944,M17,OFF
2008-04-15,16:13:07.7956,AD1-A,3.03458
2008-04-15,16:13:13.28675,AD1-A,2.98247
2008-04-15,16:13:16.20117,AD1-A,3.04505
2008-04-15,16:13:19.28633,AD1-A,2.98505
2008-04-15,16:13:22.29804,AD1-A,3.02505
2008-04-15,16:13:34.12965,AD1-A,3.00458
2008-04-15,16:13:40.11187,AD1-A,2.98286
2008-04-15,16:13:46.9386,AD1-A,3.02419
2008-04-15,16:13:49.4488,AD1-A,2.97786
2008-04-15,16:14:04.9357,AD1-A,3.00903
2008-04-15,16:14:10.7016,AD1-A,2.98301
2008-04-15,16:14:13.21221,AD1-A,3.03309
2008-04-15,16:14:31.2852,AD1-A,3.00184
2008-04-15,16:14:33.170572,M17,ON
2008-04-15,16:14:34.11605,AD1-A,3.02809
2008-04-15,16:14:34.822673,M17,OFF
2008-04-15,16:14:40.268,AD1-A,2.97997
2008-04-15,16:14:46.21067,AD1-A,3.02825
2008-04-15,16:14:49.172,AD1-A,2.98794
2008-04-15,16:14:55.28342,AD1-A,3.00872
2008-04-15,16:15:01.21548,AD1-A,2.98489
2008-04-15,16:15:07.5094,AD1-A,3.01794
2008-04-15,16:15:10.12222,AD1-A,2.98926
2008-04-15,16:15:16.1525,AD1-A,3.02872
2008-04-15,16:15:28.15627,AD1-A,2.99536
2008-04-15,16:15:31.30892,AD1-A,3.03419
2008-04-15,16:15:37.12767,AD1-A,2.98895
2008-04-15,16:15:43.13979,AD1-A,3.01903
2008-04-15,16:15:46.14181,AD1-A,2.98856
2008-04-15,16:15:55.4032,AD1-A,3.01622
2008-04-15,16:16:01.2226,AD1-A,2.99075
2008-04-15,16:16:10.30571,AD1-A,3.02192
2008-04-15,16:16:13.29834,AD1-A,2.98942
2008-04-15,16:16:22.2278,AD1-A,3.01559
2008-04-15,16:16:28.7691,AD1-A,2.99098
2008-04-15,16:16:40.63,AD1-A,3.01614
2008-04-15,16:16:43.23589,AD1-A,2.98809
2008-04-15,16:17:16.23528,AD1-A,3.00903
2008-04-15,16:17:19.28707,AD1-A,3.03083
2008-04-15,16:17:25.21203,AD1-A,2.99614
2008-04-15,16:17:28.20292,AD1-A,3.03098
2008-04-15,16:17:37.1163,AD1-A,2.99739
2008-04-15,16:17:40.20297,AD1-A,3.01903
2008-04-15,16:17:46.33665,AD1-A,2.98208
2008-04-15,16:17:49.10302,AD1-A,3.03302
2008-04-15,16:17:55.9763,AD1-A,2.99122
2008-04-15,16:17:58.9563,AD1-A,3.02622
2008-04-15,16:18:08.142574,M17,ON
2008-04-15,16:18:09.23027,M18,ON
2008-04-15,16:18:11.133699,M18,OFF
2008-04-15,16:18:14.688,M17,OFF
2008-04-15,16:18:16.71267,AD1-A,3.00434
2008-04-15,16:18:19.14336,AD1-A,3.02575
2008-04-15,16:18:24.385754,M17,ON
2008-04-15,16:18:25.17607,AD1-A,2.99106
2008-04-15,16:18:28.528707,M17,OFF
2008-04-15,16:18:32.408681,M17,ON
2008-04-15,16:18:36.421484,M17,OFF
2008-04-15,16:18:37.53917,M17,ON
2008-04-15,16:18:39.101719,M17,OFF
2008-04-15,16:18:40.526401,M17,ON
2008-04-15,16:18:40.5508,AD1-A,3.01434
2008-04-15,16:18:43.29316,AD1-A,2.99309
