date,time,sensor,message
2008-06-04,14:02:06.845859,M13,ON
2008-06-04,14:02:07.660536,M14,ON
2008-06-04,14:02:09.727937,M15,ON
2008-06-04,14:02:10.14938,M16,ON
2008-06-04,14:02:11.255505,M17,ON
2008-06-04,14:02:11.542497,M13,OFF
2008-06-04,14:02:12.195269,M14,OFF
2008-06-04,14:02:12.195269,M16,OFF
2008-06-04,14:02:13.505905,M15,OFF
2008-06-04,14:02:16.2126,AD1-B,0.0341411
2008-06-04,14:02:17.88834,M17,OFF
2008-06-04,14:02:19.11254,AD1-B,0.395904
2008-06-04,14:02:22.20372,AD1-B,0.466804
2008-06-04,14:02:25.540534,M17,ON
2008-06-04,14:02:25.9628,AD1-B,0.445671
2008-06-04,14:02:26.633232,M17,OFF
2008-06-04,14:02:28.1891,AD1-B,0.498914
2008-06-04,14:02:31.558956,M17,ON
2008-06-04,14:02:31.942873,D01,OPEN
2008-06-04,14:02:34.27194,AD1-B,0.466101
2008-06-04,14:02:34.560096,D01,CLOSE
2008-06-04,14:02:38.25614,M17,OFF
2008-06-04,14:02:39.652116,M17,ON
2008-06-04,14:02:43.543473,M18,ON
2008-06-04,14:02:43.8356,AD1-B,0.494851
