date,time,sensor,message
2008-04-04,15:09:41.923043,M23,ON
2008-04-04,15:09:41.923043,M01,ON
2008-04-04,15:09:43.147133,M07,ON
2008-04-04,15:09:43.416159,M08,ON
2008-04-04,15:09:44.71901,M07,OFF
2008-04-04,15:09:45.573805,M14,ON
2008-04-04,15:09:46.359546,M08,OFF
2008-04-04,15:09:46.543556,M23,OFF
2008-04-04,15:09:47.473238,M13,ON
2008-04-04,15:09:47.834129,M14,OFF
2008-04-04,15:09:48.646933,M01,OFF
2008-04-04,15:09:49.393694,I08,ABSENT
2008-04-04,15:10:02.614701,M13,OFF
2008-04-04,15:10:03.480814,M13,ON
2008-04-04,15:10:19.670531,M13,OFF
2008-04-04,15:10:24.34264,M13,ON
2008-04-04,15:10:27.52033,M13,OFF
2008-04-04,15:10:31.475243,M13,ON
2008-04-04,15:10:32.994896,M13,OFF
2008-04-04,15:10:40.832783,M13,ON
2008-04-04,15:10:42.543346,M13,OFF
2008-04-04,15:10:46.334917,M13,ON
2008-04-04,15:10:48.536155,M13,OFF
2008-04-04,15:10:51.797358,M13,ON
2008-04-04,15:10:55.545405,M13,OFF
2008-04-04,15:10:56.31625,M13,ON
2008-04-04,15:10:59,asterisk,START
2008-04-04,15:11:01.896327,M13,OFF
2008-04-04,15:11:03.803853,M13,ON
2008-04-04,15:11:05.947246,M13,OFF
2008-04-04,15:12:09.78453,M13,ON
2008-04-04,15:12:10,asterisk,END
