date,time,sensor,message
2008-04-10,09:44:22.567205,M15,ON
2008-04-10,09:44:22.752258,M14,ON
2008-04-10,09:44:23.159042,M16,ON
2008-04-10,09:44:24.575658,M14,OFF
2008-04-10,09:44:26.654035,M17,ON
2008-04-10,09:44:26.966954,M15,OFF
2008-04-10,09:44:28.93674,M16,OFF
2008-04-10,09:44:31.245574,M16,ON
2008-04-10,09:44:36.559878,M17,OFF
2008-04-10,09:44:39.770999,D01,OPEN
2008-04-10,09:44:40.245897,M17,ON
2008-04-10,09:44:40.645709,M16,OFF
2008-04-10,09:44:40.83669,I02,ABSENT
2008-04-10,09:44:42.826257,D01,CLOSE
2008-04-10,09:44:44.957996,M17,OFF
2008-04-10,09:44:57.478619,D01,OPEN
2008-04-10,09:45:05.150054,I01,ABSENT
2008-04-10,09:45:06.513691,I01,PRESENT
2008-04-10,09:45:15.514067,I05,ABSENT
2008-04-10,09:45:19.935754,I01,ABSENT
2008-04-10,09:45:33.554173,I01,PRESENT
2008-04-10,09:45:34.640858,M17,ON
2008-04-10,09:45:36.975347,D01,CLOSE
2008-04-10,09:45:37.87236,M17,OFF
2008-04-10,09:46:22.728141,M17,ON
2008-04-10,09:46:24.6767,AD1-A,3.31036
2008-04-10,09:46:25.162436,M17,OFF
2008-04-10,09:46:27.17888,AD1-A,3.19388
2008-04-10,09:46:29.438221,D01,OPEN
2008-04-10,09:46:30.13051,AD1-A,3.0938
2008-04-10,09:46:32.214555,I05,PRESENT
2008-04-10,09:46:33.21326,AD1-A,3.02895
2008-04-10,09:46:39.26728,AD1-A,2.97161
2008-04-10,09:46:44.386342,I02,PRESENT
2008-04-10,09:46:46.386265,D01,CLOSE
2008-04-10,09:46:48.18382,AD1-A,2.90567
2008-04-10,09:46:51.33625,AD1-A,2.94153
2008-04-10,09:46:54.15197,AD1-A,2.98458
2008-04-10,09:47:00.7845,AD1-A,2.94395
2008-04-10,09:47:12.30234,AD1-A,3.00005
2008-04-10,09:47:14.255418,D01,OPEN
2008-04-10,09:47:15.14352,AD1-A,3.03114
2008-04-10,09:47:17.145067,I03,ABSENT
2008-04-10,09:47:18.18816,AD1-A,2.99505
2008-04-10,09:47:18.717637,I03,PRESENT
2008-04-10,09:47:20.724048,D01,CLOSE
2008-04-10,09:47:24.9071,AD1-A,3.02911
2008-04-10,09:47:30.27308,AD1-A,2.99395
2008-04-10,09:47:36.575,AD1-A,3.04005
2008-04-10,09:47:42.31087,AD1-A,3.00169
2008-04-10,09:47:44.356518,M17,ON
2008-04-10,09:47:46.15034,M17,OFF
2008-04-10,09:48:00.764516,M17,ON
2008-04-10,09:48:02.435085,M17,OFF
2008-04-10,09:48:02.944899,D01,OPEN
2008-04-10,09:48:03.108906,AD1-A,3.04544
2008-04-10,09:48:04.938327,I03,ABSENT
2008-04-10,09:48:06.634264,I03,PRESENT
2008-04-10,09:48:07.810109,I01,ABSENT
2008-04-10,09:48:09.16981,AD1-A,3.00114
2008-04-10,09:48:09.471012,D01,CLOSE
2008-04-10,09:48:15.17457,AD1-A,3.04708
2008-04-10,09:48:18.11322,AD1-A,2.99731
2008-04-10,09:48:21.1562,AD1-A,3.04497
2008-04-10,09:48:27.15709,AD1-A,3.01028
2008-04-10,09:48:30.22826,AD1-A,3.05364
2008-04-10,09:48:32.591225,M17,ON
2008-04-10,09:48:34.442638,M17,OFF
2008-04-10,09:48:41.360624,D01,OPEN
2008-04-10,09:48:42.516325,I01,PRESENT
2008-04-10,09:48:43.557991,D01,CLOSE
2008-04-10,09:48:48.9832,AD1-A,3.01395
2008-04-10,09:48:51.26113,AD1-A,3.05356
2008-04-10,09:48:57.30375,AD1-A,3.00817
2008-04-10,09:49:02.925544,M17,ON
2008-04-10,09:49:04.71632,D01,OPEN
2008-04-10,09:49:05.269731,M17,OFF
2008-04-10,09:49:05.93881,I01,ABSENT
2008-04-10,09:49:06.132907,I04,ABSENT
2008-04-10,09:49:06.132907,I01,PRESENT
2008-04-10,09:49:08.984721,D01,CLOSE
2008-04-10,09:49:18.460759,M17,ON
2008-04-10,09:49:19.747406,M17,OFF
2008-04-10,09:49:25.939306,M17,ON
2008-04-10,09:49:30.21591,AD1-A,3.03934
