date,time,sensor,message
2008-06-04,09:12:05.561382,M17,ON
2008-06-04,09:12:05.711431,D01,OPEN
2008-06-04,09:12:07.528887,M17,OFF
2008-06-04,09:12:09.537308,M17,ON
2008-06-04,09:12:10.930927,I01,ABSENT
2008-06-04,09:12:11.247865,M17,OFF
2008-06-04,09:12:11.666793,I02,ABSENT
2008-06-04,09:12:13.674205,I04,ABSENT
2008-06-04,09:12:14.291049,I05,ABSENT
2008-06-04,09:12:17.89305,I03,ABSENT
2008-06-04,09:12:21.747247,M17,ON
2008-06-04,09:12:21.906281,D01,CLOSE
2008-06-04,09:12:22.849965,M17,OFF
2008-06-04,09:12:34.534402,M17,ON
2008-06-04,09:12:36.157545,M17,OFF
2008-06-04,09:12:40.11925,I07,ABSENT
2008-06-04,09:12:42.422576,M17,ON
2008-06-04,09:12:44.561986,M17,OFF
2008-06-04,09:12:49.467257,M17,ON
2008-06-04,09:12:52.94951,M17,OFF
2008-06-04,09:13:02.88993,M17,ON
2008-06-04,09:13:04.512954,M17,OFF
2008-06-04,09:13:13.64365,M17,ON
2008-06-04,09:13:18.898205,M17,OFF
2008-06-04,09:13:22.10358,AD1-B,0.0358209
2008-06-04,09:13:23.294033,M17,ON
2008-06-04,09:13:25.22543,AD1-B,0.154924
2008-06-04,09:13:28.543758,M17,OFF
2008-06-04,09:13:31.21203,AD1-A,2.81418
2008-06-04,09:13:31.579117,M17,ON
2008-06-04,09:13:33.68253,M17,OFF
2008-06-04,09:13:34.13428,AD1-A,2.94208
2008-06-04,09:13:37.3619,AD1-A,3.03966
2008-06-04,09:13:40.19894,AD1-A,3.11528
2008-06-04,09:13:43.2669,AD1-A,3.15763
2008-06-04,09:13:46.6958,AD1-A,3.21841
2008-06-04,09:13:49.18122,AD1-A,3.23857
2008-06-04,09:13:55.26638,AD1-A,3.26232
2008-06-04,09:13:55.59964,M17,ON
2008-06-04,09:13:57.255492,M17,OFF
2008-06-04,09:14:07.12944,AD1-A,3.29169
2008-06-04,09:14:52.13945,AD1-A,3.31403
2008-06-04,09:16:07.10182,AD1-A,3.337
2008-06-04,09:16:10.14378,AD1-A,3.30083
2008-06-04,09:16:13.12028,AD1-A,3.18341
2008-06-04,09:16:16.16532,AD1-A,3.08153
2008-06-04,09:16:19.22764,AD1-A,3.02091
2008-06-04,09:16:22.9403,AD1-A,2.95778
2008-06-04,09:16:25.22677,AD1-A,2.92887
2008-06-04,09:16:28.2732,AD1-A,2.8959
2008-06-04,09:16:31.2205,AD1-A,2.92872
2008-06-04,09:16:40.9744,AD1-A,2.97145
2008-06-04,09:16:46.123,AD1-A,2.99458
2008-06-04,09:16:49.2734,AD1-A,3.0188
2008-06-04,09:16:52.26624,AD1-A,2.97536
2008-06-04,09:16:55.7995,AD1-A,3.0052
2008-06-04,09:17:01.5399,AD1-A,3.03927
2008-06-04,09:17:07.24461,AD1-A,3.00942
2008-06-04,09:17:16.4122,AD1-A,3.03887
2008-06-04,09:17:19.1143,AD1-A,3.06106
2008-06-04,09:17:28.17674,AD1-A,3.02005
2008-06-04,09:17:31.725,AD1-A,3.04887
2008-06-04,09:17:37.822,AD1-A,3.00372
2008-06-04,09:17:40.98,AD1-A,3.05942
2008-06-04,09:17:43.9281,AD1-A,3.01231
2008-06-04,09:17:52.6836,AD1-A,3.04005
2008-06-04,09:17:58.152,AD1-A,3.0095
2008-06-04,09:18:01.24573,AD1-A,3.05911
2008-06-04,09:18:04.1956,AD1-A,3.00348
2008-06-04,09:18:09.518417,M17,ON
2008-06-04,09:18:10.50347,AD1-A,3.03255
2008-06-04,09:18:11.733912,M17,OFF
2008-06-04,09:18:16.698,AD1-A,3.00809
2008-06-04,09:18:37.5713,AD1-A,3.03122
2008-06-04,09:18:40.15974,AD1-A,3.01044
2008-06-04,09:18:46.8858,AD1-A,3.04598
