date,time,sensor,message
2008-04-04,13:52:25.836804,M13,ON
2008-04-04,13:52:28.324015,M13,OFF
2008-04-04,13:52:28.931912,M13,ON
2008-04-04,13:52:31.283176,M13,OFF
2008-04-04,13:52:34.922669,M15,ON
2008-04-04,13:52:35.8376,M16,ON
2008-04-04,13:52:36.550858,M17,ON
2008-04-04,13:52:37.134829,M15,OFF
2008-04-04,13:52:38.33492,M14,OFF
2008-04-04,13:52:38.822949,M16,OFF
2008-04-04,13:52:40.741027,M17,OFF
2008-04-04,13:52:41.978772,M18,ON
2008-04-04,13:52:44.548003,M17,ON
2008-04-04,13:52:46.523443,M17,OFF
2008-04-04,13:52:50.865961,M18,OFF
2008-04-04,13:52:58.98843,M18,ON
2008-04-04,13:53:12.85315,M17,ON
